Nama Tempat,Alamat,No Telepon,Rating,Ulasan Singkat,URL
Bang Jaja Seafood Genteng,"Jl. Genteng Besar No.17, Genteng, Kec. Genteng, Surabaya, Jawa Timur 60275",0857-4666-1565,"4,3","Puas Banget! Seafood Enak, Porsi Jumbo, Harga Kaki Lima  ""Pengalaman makan yang sangat memuaskan di Seafood Genteng. Kemarin iseng …",https://www.google.com/maps/place/Bang+Jaja+Seafood+Genteng/data=!4m7!3m6!1s0x2dd7f9678bd93725:0xb4168c34dde6d6f2!8m2!3d-7.259143!4d112.741855!16s%2Fg%2F11b7vj7p6c!19sChIJJTfZi2f51y0R8tbm3TSMFrQ?authuser=0&hl=id&rclk=1
Nasi Jagung Khas Madura,"Ps. Pegirian, Jl. Nyamplungan No.236, Ampel, Kec. Semampir, Surabaya, Jawa Timur 60152",Tidak diketahui,"4,5","Tempatnya lumayan rame saat jam makan malam. Tempat duduknya ada di trotoar di sekitaran tempat pesannya. Antrian makan di tempat dan bungkus dipisah. Lauknya ada babat, paru, cumi, tongkol, cecek, dan belut. Saya pribadi lebih suka babat, …",https://www.google.com/maps/place/Nasi+Jagung+Khas+Madura/data=!4m7!3m6!1s0x2dd7f91df9900001:0x9a2efc279eb74131!8m2!3d-7.2269964!4d112.7455875!16s%2Fg%2F11f03m_n2q!19sChIJAQCQ-R351y0RMUG3nif8Lpo?authuser=0&hl=id&rclk=1
Restoran,"Surabaya Plaza, Jl. Pemuda No.33-37 LT 5 / FC no 7 (Area Foodcourt, Embong Kaliasin, Kec. Genteng, Surabaya, Jawa Timur 60271",0813-5703-6410,"4,7",Tempat makan dengan citarasa Indonesia yg cukup lama berada di Surabaya Plaza. Interior telah disesuaikan dengan desain  saat ini. Tempat duduk nyaman dan luas. Hanya saja rasa masakan kurang konsisten jika dibandingkan dengan yg dulu. …,https://www.google.com/maps/place/Restoran/data=!4m7!3m6!1s0x2dd7f91266da6435:0xcc03f0b34b0f967d!8m2!3d-7.2647766!4d112.7486923!16s%2Fg%2F11x66bpcn5!19sChIJNWTaZhL51y0RfZYPS7PwA8w?authuser=0&hl=id&rclk=1
Mie KJ 1960,"Jalan Kembang Jepun No.48 Bongkaran, Nyamplungan, Kec. Pabean Cantikan, Surabaya, Jawa Timur 60162",0822-9888-1960,"4,6",Tidak ada ulasan teks,https://www.google.com/maps/place/Mie+KJ+1960/data=!4m7!3m6!1s0x2dd7f9176bff45d1:0xf5c1aa993cca689a!8m2!3d-7.23793!4d112.7430517!16s%2Fg%2F11hb54_k_2!19sChIJ0UX_axf51y0RmmjKPJmqwfU?authuser=0&hl=id&rclk=1
de Soematra,"Jl. Sumatera No.75, Gubeng, Kec. Gubeng, Surabaya, Jawa Timur 60281",(031) 5010666,"4,7","Sebenarnya suka dg tempatnya ,, buat foto2 bagus .. makanan yg di sajikan juga enak , ( saya pesan set menu ) 4 agt ‘25 lalu saya lunch bday , saya pesan dekor tapi sempat tidak boleh di …",https://www.google.com/maps/place/de+Soematra/data=!4m7!3m6!1s0x2dd7fbd97d105b21:0xf5bb90ede92d68bb!8m2!3d-7.2715355!4d112.7473151!16s%2Fg%2F1q5cccjym!19sChIJIVsQfdn71y0Ru2gt6e2Qu_U?authuser=0&hl=id&rclk=1
Gubug Makan Mang Engking Gubeng Surabaya,"Jl. Gubeng Masjid, Pacar Keling, Kec. Tambaksari, Surabaya, Jawa Timur",(031) 99453722,"4,4",Tidak ada ulasan teks,https://www.google.com/maps/place/Gubug+Makan+Mang+Engking+Gubeng+Surabaya/data=!4m7!3m6!1s0x2dd7fb27e4e5d3f5:0x1f44be80d59668d1!8m2!3d-7.2671284!4d112.7526298!16s%2Fg%2F11tmdwt8wm!19sChIJ9dPl5Cf71y0R0WiW1YC-RB8?authuser=0&hl=id&rclk=1
Ayam Goreng Jakarta Asli,"Jl. Tidar No.3-1, Sawahan, Kec. Sawahan, Surabaya, Jawa Timur 60251",Tidak diketahui,"4,4",Tidak ada ulasan teks,https://www.google.com/maps/place/Ayam+Goreng+Jakarta+Asli/data=!4m7!3m6!1s0x2dd7f91f0f3856c7:0x25d2f57d5a444c84!8m2!3d-7.2582627!4d112.7325298!16s%2Fg%2F11kyc92swn!19sChIJx1Y4Dx_51y0RhExEWn310iU?authuser=0&hl=id&rclk=1
Sate Kelopo Tiara,"Jl. Pacar Kembang No.21, Pacar Kembang, Kec. Tambaksari, Surabaya, Jawa Timur 60132",0878-6622-6600,"4,6","Sate Kelopo versi warga lokal. Rasa enak dan tidak kalah dengan sate klopo yang sudah terkenal. Cuma ada satu jenis sate : daging sapi selap lemak/gajih. Harga cukup terjangkau, bila mode hemat pesan 5tusuk sate + nasi sudah cukup kenyang, …",https://www.google.com/maps/place/Sate+Kelopo+Tiara/data=!4m7!3m6!1s0x2dd7f97929c416ad:0xf4e35992c767d559!8m2!3d-7.2605199!4d112.7598766!16s%2Fg%2F11bwkdqtly!19sChIJrRbEKXn51y0RWdVnx5JZ4_Q?authuser=0&hl=id&rclk=1
Bebek Sinjay - Kaza Mall,"Kaza City- Foodcourt, Jl. Kapas Krampung B No.45 No.5, Tambakrejo, Kec. Simokerto, Surabaya, Jawa Timur 60133",Tidak diketahui,"4,3",Untuk makanannya 3/10 Karna  penyajiannya semua dingin kayak di goreng kemaren sore Pelayanannya 1/10 …,https://www.google.com/maps/place/Bebek+Sinjay+-+Kaza+Mall/data=!4m7!3m6!1s0x2dd7f974f3694abd:0x4f2814618f8b703d!8m2!3d-7.2479823!4d112.7582917!16s%2Fg%2F11b6ty_rvh!19sChIJvUpp83T51y0RPXCLj2EUKE8?authuser=0&hl=id&rclk=1
Depot Bu Rudy - Dharmahusada,"Jl. Dharmahusada No.144, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60285",0812-4428-4424,"4,5",Tidak ada ulasan teks,https://www.google.com/maps/place/Depot+Bu+Rudy+-+Dharmahusada/data=!4m7!3m6!1s0x2dd7f9fdfa4dc9cd:0x73513935dae2989e!8m2!3d-7.2674503!4d112.7700431!16s%2Fg%2F1hd_3mf8w!19sChIJzclN-v351y0Rnpji2jU5UXM?authuser=0&hl=id&rclk=1
